,count,integer_1,integer_2,name_1,name_2
0,83981,414093,1001939,Marvel Cinematic Universe,The Avengers (Marvel Movies)
7,17742,11987966,33035890,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,陈情令 | The Untamed (TV)
9,4084,1633246,14988696,Dangan Ronpa - All Media Types,Dangan Ronpa: Trigger Happy Havoc
10,16448,218280,254648,Video Blogging RPF,Minecraft (Video Game)
11,140,51823,251062,Forgotten Realms,Dungeons & Dragons (Roleplaying Game)
12,4437,1464,1801,Star Trek: The Original Series,Star Trek
13,3071,1464,601802,Star Trek: The Original Series,Star Trek: Alternate Original Series (Movies)
14,6753,1801,601802,Star Trek,Star Trek: Alternate Original Series (Movies)
15,242,3658,1281791,Tokyo Babylon,X -エックス- | X/1999
43,25135,7266,414093,Marvel,Marvel Cinematic Universe
44,5569,21872622,34135873,鬼滅の刃 | Kimetsu no Yaiba (Manga),鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime)
46,51455,414093,586439,Marvel Cinematic Universe,Captain America (Movies)
47,35409,586439,1001939,Captain America (Movies),The Avengers (Marvel Movies)
49,401,114548,35398640,His Dark Materials - Philip Pullman,His Dark Materials (TV)
50,12260,101375,747342,Star Wars - All Media Types,Star Wars: The Clone Wars (2008) - All Media Types
51,250,244259,3828398,Katekyou Hitman Reborn!,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
54,4196,587792,2282814,Arrow (TV 2012),The Flash (TV 2014)
55,1284,587792,5148298,Arrow (TV 2012),Supergirl (TV 2015)
56,1868,587792,5171863,Arrow (TV 2012),DC's Legends of Tomorrow (TV)
60,1422,2282814,5148298,The Flash (TV 2014),Supergirl (TV 2015)
61,3856,2282814,5171863,The Flash (TV 2014),DC's Legends of Tomorrow (TV)
62,1042,5148298,5171863,Supergirl (TV 2015),DC's Legends of Tomorrow (TV)
63,2364,218280,46023568,Video Blogging RPF,Dream SMP - Fandom
64,3296,254648,46023568,Minecraft (Video Game),Dream SMP - Fandom
71,305,236870,1118749,Youtube RPF,markiplier - Fandom
75,990,251062,579568,Dungeons & Dragons (Roleplaying Game),Dungeons & Dragons - All Media Types
76,1018,303506,26238188,American Horror Story,American Horror Story: Apocalypse
81,204,11987966,24757434,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,Mo Dao Zu Shi
82,181,11987966,26740493,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,陈情令 | The Untamed (TV) RPF
84,193,24757434,33035890,Mo Dao Zu Shi,陈情令 | The Untamed (TV)
85,476,26740493,33035890,陈情令 | The Untamed (TV) RPF,陈情令 | The Untamed (TV)
89,958,2692,251062,Original Work,Dungeons & Dragons (Roleplaying Game)
90,627,254648,19361860,Minecraft (Video Game),mcyt
92,104,254648,40750387,Minecraft (Video Game),Dreamwastaken
93,119,254648,40750390,Minecraft (Video Game),GeorgeNotFound - Fandom
94,160,254648,41082133,Minecraft (Video Game),dreamnotfound - Fandom
96,723,254648,45140518,Minecraft (Video Game),DreamSMP
104,174,19361860,45140518,mcyt,DreamSMP
114,182,40750387,40750390,Dreamwastaken,GeorgeNotFound - Fandom
120,116,40750390,41082133,GeorgeNotFound - Fandom,dreamnotfound - Fandom
135,8056,299357,29890172,Wiedźmin | The Witcher - All Media Types,The Witcher (TV)
136,719,275900,23354435,Karate Kid (Movies),Cobra Kai (Web Series)
139,2989,101375,31516237,Star Wars - All Media Types,The Mandalorian (TV)
140,301,414093,47555740,Marvel Cinematic Universe,WandaVision (TV)
144,1080,236208,419088,Batman - All Media Types,Batman and Robin (Comics)
145,475,13681091,15740595,Dear Evan Hansen - Pasek & Paul/Levenson,Be More Chill - Iconis/Tracz
146,582,448284,449385,Pocket Monsters | Pokemon - All Media Types,Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions
147,4905,448284,452874,Pocket Monsters | Pokemon - All Media Types,Pocket Monsters | Pokemon (Main Video Game Series)
148,511,448284,3491546,Pocket Monsters | Pokemon - All Media Types,Pocket Monsters: Omega Ruby & Alpha Sapphire | Pokemon Omega Ruby & Alpha Sapphire Versions
149,680,449385,452874,Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions,Pocket Monsters | Pokemon (Main Video Game Series)
150,328,449385,3491546,Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions,Pocket Monsters: Omega Ruby & Alpha Sapphire | Pokemon Omega Ruby & Alpha Sapphire Versions
151,450,452874,3491546,Pocket Monsters | Pokemon (Main Video Game Series),Pocket Monsters: Omega Ruby & Alpha Sapphire | Pokemon Omega Ruby & Alpha Sapphire Versions
152,5368,11987966,25760640,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,魔道祖师 | Módào Zǔshī (Cartoon)
155,23519,101375,6048501,Star Wars - All Media Types,Star Wars Sequel Trilogy
156,31923,116304,242462,A Song of Ice and Fire - George R. R. Martin,Game of Thrones (TV)
157,6852,236208,969647,Batman - All Media Types,DCU (Comics)
225,6214,711035,1633246,Super Dangan Ronpa 2,Dangan Ronpa - All Media Types
230,209,1002903,4239908,방탄소년단 | Bangtan Boys | BTS,Mamamoo
231,582,1002903,4997791,방탄소년단 | Bangtan Boys | BTS,Monsta X (Band)
232,355,1002903,7150409,방탄소년단 | Bangtan Boys | BTS,TWICE (Band)
233,256,1002903,24557565,방탄소년단 | Bangtan Boys | BTS,ATEEZ (Band)
238,103,4997791,24557565,Monsta X (Band),ATEEZ (Band)
240,782,1801,6226,Star Trek,Star Trek: The Next Generation
241,393,134891,51602310,Bridgerton Series - Julia Quinn,Bridgerton (TV)
248,5630,116314,452309,Hunger Games Trilogy - Suzanne Collins,Hunger Games Series - All Media Types
